id;source;business_id;business_date;business_amt;business_type;business_type_detail;payer;receiver;remark;is_active
1;though outrageous;2ee328ca-5645-4db9-aaf2-fa8649b52cd4;2024-07-01T17:49:09;1582.5;hastily snooze before;through following;churn;whoa oh tattered;important riddle since;true
2;lovingly ew;7946ba39-67d1-4470-b36d-d84e1117b05d;2024-07-01T17:37:32;26685.6;awkwardly high;whose instinct pro;nutritious memorable abaft;nearly;um skate;false
3;taut willfully ick;01206a20-8814-4d1e-8f1e-854e6ea5c68c;2024-07-01T17:03:32;699.26;indeed;befriend from when;amongst;blinker;gadzooks rewrite;false
4;surcharge;58067623-c19c-4f18-a384-52794867e66f;2024-07-01T08:54:28;23513.03;usefully eek after;phew yet;yowza optimistically after;brass phew;than;true
5;sea;b4f02c33-f2fa-41f2-b8fb-abdb2338ea2a;2024-07-01T15:31:41;31669.43;essential however;oh aha;under;infrastructure form;for telegraph;true
6;sticky;b787e78e-38dd-4ced-b0bd-eaf1400b1156;2024-07-01T16:11:32;27304.5;yet auto atop;lazily;reaction manure;cumbersome;phooey worried;true
7;blah;190f83f4-feae-4452-8657-9b4e6347406a;2024-07-01T20:02:15;25477.99;terribly grumpy than;cry boohoo impolite;now;wonderfully quicker velodrome;immediately farming;true
8;tower;3d1266a9-dca1-4d50-9100-e4946cadf87c;2024-07-01T19:08:28;20461.89;verbally;drafty net instantly;once owlishly hm;although;psst wetly smoulder;false
9;hmph;4f0a436d-047a-4b59-ae74-48c6d805d4a7;2024-07-01T11:55:52;10064.29;ouch standard;jagged why;kindheartedly;soggy ugh;certainly weather;true
10;failing;13ea01fd-1ed5-439b-8561-2a2274f6611e;2024-07-01T17:07:30;4471.23;sans off fond;time while;huzzah regularly;wherever joint crimp;flamboyant lest;false
