id;expense_date;expense_amount;expense_type;expense_type_detail;expense_payer;expense_receiver;expense_remark;expense_receipt;expense_receipt_content_type;is_active;modifier;modify_datetime;creator;create_datetime
1;2024-07-01T02:37:15;9699.66;taxi;zowie printer too;prestigious;against blah;miserly soundness;../fake-data/blob/hipster.png;image/png;true;gratefully empty;2024-07-01T21:11:06;helplessly porthole quarrelsomely;2024-07-01T15:05:05
2;2024-07-01T17:07:31;1343.12;inasmuch minus lieu;prickly while;about dust excitedly;yet only;whoever whose;../fake-data/blob/hipster.png;image/png;false;however inwardly;2024-07-01T12:04:58;trusting if;2024-07-01T08:43:10
3;2024-07-01T10:59:08;22475.26;over;whenever dew;hmph international;bland pace woefully;whenever;../fake-data/blob/hipster.png;image/png;true;in iconify;2024-07-01T19:23:16;instead entire;2024-07-01T13:44:05
4;2024-07-01T16:06:12;7217.42;feminine;algebra gee;bouncy while ordinary;utterly;without unto;../fake-data/blob/hipster.png;image/png;false;hence;2024-07-01T11:58:46;difficult er lest;2024-07-01T08:20:14
5;2024-07-01T22:45:48;22818.43;hefty calmly loose;psst wallet whose;zowie;huzzah pruner;thoughtfully beyond fervently;../fake-data/blob/hipster.png;image/png;false;inside nor aha;2024-07-01T07:43:09;or like;2024-07-01T19:00:34
6;2024-07-01T12:32:33;25892.42;past outlying season;mid prudent;loyally;wherever interestingly;abaft too pfft;../fake-data/blob/hipster.png;image/png;true;ultimately bah;2024-07-01T21:17:07;modern digital the;2024-07-01T10:13:40
7;2024-07-01T17:02:48;19848.05;truly;thirsty whose meaningfully;partial;quicker;above error;../fake-data/blob/hipster.png;image/png;false;immediate;2024-07-01T21:12:32;hence mortally;2024-07-01T16:22:34
8;2024-07-02T00:01:22;19366.12;volumize orderly;pink reclassify final;outgoing anarchy;wherever if because;damaged request yuck;../fake-data/blob/hipster.png;image/png;false;fooey bumpy intensely;2024-07-01T16:40:03;spirited;2024-07-01T13:09:44
9;2024-07-01T11:41:38;10017.55;lustrous down;orator;sport;gee carabao;though beverage experience;../fake-data/blob/hipster.png;image/png;false;unnerve unethically close;2024-07-01T10:22:11;focused;2024-07-01T20:34:12
10;2024-07-01T22:18:00;7862.93;dental moulder;zowie gigantic;however;except instead excluding;between plus;../fake-data/blob/hipster.png;image/png;false;industry tightly;2024-07-01T09:10:13;gadzooks;2024-07-01T05:14:03
