id;income_date;income_amount;income_type;income_type_detail;income_payer;income_receiver;income_remark;is_active;modifier;modify_datetime;creator;create_datetime
1;2024-07-01T18:34:12;8880.69;amongst;sound tone before;banking;banish;when;true;augment;2024-07-01T11:01:46;mmm deplete;2024-07-01T11:05:19
2;2024-07-01T18:14:07;21008.95;wildly;poorly;discourse orderly;devour beyond;soar ha unacceptable;true;passivize;2024-07-01T17:44:33;ack;2024-07-01T18:10:20
3;2024-07-01T21:03:42;31158.7;justly echidna;sandbag;indicate creative hence;pennant whose blah;readily;true;fabulous;2024-07-01T14:53:52;lively occasion reflecting;2024-07-01T11:05:28
4;2024-07-01T18:07:16;24766.77;that wan;damaged drat physically;how because locality;phew;inwardly vainly;false;after after lest;2024-07-01T19:47:59;despite;2024-07-01T11:36:23
5;2024-07-01T18:05:13;1543.7;perfect;recess;lightly lest;vocalize coaxingly bah;eek outside phooey;false;even regularly provided;2024-07-01T13:07:25;polish frantically backfill;2024-07-01T03:11:59
6;2024-07-01T18:13:58;30226.17;clean till;thrifty an bah;finance import;temporise regular subroutine;or dim quarrelsome;false;jol squeaky congregation;2024-07-01T03:11:21;downlink geez;2024-07-01T06:03:24
7;2024-07-01T20:42:32;8568.17;arise modest;joyously lout;about intensely;up grin;smoggy;false;despite um;2024-07-01T03:43:58;although;2024-07-01T03:04:03
8;2024-07-01T18:47:22;15503.56;right wetland unexpectedly;launder;once;whoa gadzooks;ha for endorse;false;link;2024-07-01T22:03:11;whenever scarily scale;2024-07-01T12:16:02
9;2024-07-01T04:27:40;9824.59;suspiciously radiant;failing insult;brr;live though steel;recreation whose;false;indelible quickly;2024-07-02T00:39:06;disgorge;2024-07-02T02:25:33
10;2024-07-02T01:41:25;4988.67;interestingly example sturgeon;gargle;stink queasily humour;wherever likewise disrobe;ah;true;neighboring while;2024-07-01T18:44:38;meanwhile down huzzah;2024-07-01T12:58:06
